,end_effector_x,end_effector_y,link_01_rotation,link_02_rotation,link_03_rotation
1920,0.2,-3.0,274.0387429932637,179.42829262254156,180.46958201546244
1921,0.2,-2.9,290.9432289626135,144.93180755572772,199.09254390015252
1922,0.2,-2.8,300.60703139283277,129.4070881006122,201.85614089117723
1923,0.2,-2.7,308.3908959709923,118.00214750755165,202.42820338511166
1924,0.2,-2.6,315.1901443840649,108.6494533638373,202.2286662386989
1925,0.2,-2.5,321.405818019357,100.51786043993783,201.7065529181648
1926,0.2,-2.4,327.2606356853244,93.20966048086173,201.0022904052975
1927,0.2,-2.3,217.05819720094502,273.5220920028328,159.75455944153705
1928,0.2,-2.2,212.0213424994108,279.83621939991605,160.51111217514267
1929,0.2,-2.1,207.08375776727357,285.84075481249016,161.23698882163848
1930,0.2,-2.0,202.16104918714862,291.6300299831821,161.936880013437
1931,0.2,-1.9,197.19298815093478,297.27326887923005,162.58700986203735
1932,0.2,-1.8,192.1380471084784,302.8398457320338,163.10857505989057
1933,0.2,-1.7,186.92707722462222,308.43196749233334,163.40281619424013
1934,0.2,-1.6,181.44697056671086,314.05645068892045,163.5997339631062
1935,0.2,-1.5,175.58395986146294,319.7868018176427,163.6666527414994
1936,0.2,-1.4,169.18856687363484,325.72831507474507,163.51823273083502
1937,0.2,-1.3,162.0098877917897,332.0506796799674,163.04929926317863
1938,0.2,-1.2,153.74299565062145,339.07502380732694,161.83624400620602
1939,0.2,-1.1,143.98866589314284,347.38717278193565,158.98321251818916
1940,0.2,-1.0,133.59504408972938,357.75145209267475,151.88789760271132
1941,0.2,-0.9,127.00856972968103,8.35611672352897,139.8179322260179
1942,0.2,-0.8,124.84278504576169,16.789515216283803,127.63724606778393
1943,0.2,-0.7,124.60290880211083,23.633364764636553,117.03861955152712
1944,0.2,-0.6,125.11058310273954,29.648821649693502,107.80668998252777
1945,0.2,-0.5,126.07486920976194,35.21339042688123,99.60156324202394
1946,0.2,-0.4,127.41122304163162,40.535077677183324,92.2369527505927
1947,0.2,-0.3,128.7479183829598,45.838569303536474,85.64317008813244
1948,0.2,-0.2,129.94326978960373,51.24996425839751,79.72793256876709
1949,0.2,-0.1,131.8386609446606,56.64760321227011,74.49798841939662
1950,0.2,0.0,133.8523509761421,62.2041670077506,70.02942594737499
1951,0.2,0.1,135.90113451957913,67.93503040066062,66.35813096660144
1952,0.2,0.2,138.43688323008138,73.67180873739188,63.69138605800751
1953,0.2,0.3,141.195173164121,79.28602615965643,62.145700588455284
1954,0.2,0.4,143.7392000638973,84.6923531141533,61.606689379914556
1955,0.2,0.5,146.04395177666973,89.67498977405594,62.06402518636027
1956,0.2,0.6,148.05312022292068,94.11933239528071,63.39671803683481
1957,0.2,0.7,149.5938196543788,98.07641615130593,65.36307485736813
1958,0.2,0.8,150.57104213968918,101.64596863420299,67.73487170703339
1959,0.2,0.9,151.13399999145997,104.83511373127617,70.46871639403354
1960,0.2,1.0,151.3052328339522,107.7355945434571,73.46296204314041
1961,0.2,1.1,151.05604021227347,110.47829115562158,76.5694686814456
1962,0.2,1.2,150.488956926244,113.07529983278967,79.80535959319835
1963,0.2,1.3,149.65899331943905,115.54909189733074,83.17476704284651
1964,0.2,1.4,148.5856427517499,117.94207599380138,86.62270117738231
1965,0.2,1.5,147.23937148520537,120.36720296050612,90.09176108702096
1966,0.2,1.6,145.70229205400736,122.75650558501412,93.67388794818
1967,0.2,1.7,144.00089193175717,125.11475133936608,97.34637138186913
1968,0.2,1.8,142.11687987185752,127.49673200108384,101.10882889749485
1969,0.2,1.9,140.0220198722796,129.96776466920022,104.95022973954757
1970,0.2,2.0,137.77281125783773,132.4623102635344,108.91916387378276
1971,0.2,2.1,135.33431078073812,135.0311819764166,113.04673598168068
1972,0.2,2.2,132.68656062822598,137.7256984341758,117.30774266520396
1973,0.2,2.3,129.83042140413679,140.52011323873563,121.80012883705061
1974,0.2,2.4,126.698260575309,143.50724183072734,126.54773185742394
1975,0.2,2.5,123.26222463030737,146.69262349356785,131.65212005437664
1976,0.2,2.6,119.41762042953391,150.19658566986524,137.193032471374
1977,0.2,2.7,115.01813166058862,154.12030395179497,143.425091730485
1978,0.2,2.8,109.74694682900962,158.74899850136026,150.73181978379495
1979,0.2,2.9,102.75682194939185,164.81685147508767,160.18664574616852
1980,0.3,-3.0,275.93476252572424,179.42995966894674,180.46796326062915
1981,0.3,-2.9,292.5280377557316,146.56192099361047,197.00228744807518
1982,0.3,-2.8,302.7502969430586,130.931965398858,198.60904334654379
1983,0.3,-2.7,310.8033426915029,119.79522242884174,198.1816818252707
1984,0.3,-2.6,317.7802443248875,110.78065679998886,197.1340059386716
1985,0.3,-2.5,324.1315655170961,103.01341348717456,195.849018544455
1986,0.3,-2.4,330.0969024740235,96.06690619559649,194.46878416226258
1987,0.3,-2.3,335.8297756500968,89.69618385105049,193.0484608385104
1988,0.3,-2.2,341.420476731049,83.76262093414199,191.62673988729932
1989,0.3,-2.1,346.9702368043425,78.14196264349013,190.20757001174326
1990,0.3,-2.0,352.5543638282186,72.70895013990601,188.8839442373919
1991,0.3,-1.9,358.22834999475407,67.43162496826316,187.63740739310788
1992,0.3,-1.8,4.082376319273118,62.26043410613316,186.42637301835597
1993,0.3,-1.7,10.204342747360423,57.149608455887716,185.2387482632106
1994,0.3,-1.6,16.720132333461965,52.11924243406503,183.8947979803234
1995,0.3,-1.5,23.744843583489384,47.1771224563189,182.30843446539552
1996,0.3,-1.4,31.470489336711026,42.169459983297344,180.6214022863947
1997,0.3,-1.3,40.19380203897621,37.091610486364715,178.6042383566683
1998,0.3,-1.2,50.360091241149554,31.89342671663482,176.02306088405754
1999,0.3,-1.1,62.75645428280499,26.653223623130998,172.108187697103
2000,0.3,-1.0,77.97023620614483,22.770998740409084,163.81768188442672
2001,0.3,-0.9,91.52063484015478,23.712021223118427,149.04106792646084
2002,0.3,-0.8,99.3130474000606,27.850897294092732,134.65498881731065
2003,0.3,-0.7,104.25449801926806,32.448461548968396,122.83363891131108
2004,0.3,-0.6,108.14599146869365,36.94943326860172,112.85781294923812
2005,0.3,-0.5,111.68794315715468,41.310618336681586,104.20653825214906
2006,0.3,-0.4,114.6368978218752,45.811234886478076,96.51794456762745
2007,0.3,-0.3,117.16438200348173,50.46529846616809,89.64507354549129
2008,0.3,-0.2,120.02879941684499,55.09004687394041,83.57465412818325
2009,0.3,-0.1,122.85282309145681,59.87952578411509,78.26685265246381
2010,0.3,0.0,125.70147642821568,64.84242319731639,73.74025406306458
2011,0.3,0.1,128.9263502448372,69.85541321789057,70.1550604469682
2012,0.3,0.2,132.2532670876587,74.90523161846946,67.57930731849719
2013,0.3,0.3,135.34372278141439,79.97133319002967,65.93974089880314
2014,0.3,0.4,138.3014952203534,84.8138007077853,65.34108164824069
2015,0.3,0.5,141.0204296043954,89.29816140735717,65.70927665582856
2016,0.3,0.6,143.26909180370367,93.42823336449132,66.82640190590834
2017,0.3,0.7,144.97967170019834,97.19536272950931,68.5268048205397
2018,0.3,0.8,146.24057926249606,100.5874054260669,70.72167244994495
2019,0.3,0.9,147.0609942648413,103.67047085514061,73.28685244558079
